district,mean_articles_per_month,n_months_observed
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Birnin Magaji, Zamfara, Nigeria",210.41666666666666,48
"Urban, Bulawayo, Bulawayo, Zimbabwe",205.7,30
"Benue river sugar cane, rice, and sugar estate labor, Numan, Adamawa, Nigeria",205.29166666666666,48
"Cassava dominant with maize, yams, and tree-crops, Delta, Nigeria",205.14583333333334,48
"Benue river sugar cane, rice, and sugar estate labor, Lamurde, Adamawa, Nigeria",205.08333333333334,48
"Central yams and maize belt, with cassava, rice, and soybeans, Benue, Nigeria",204.95833333333334,48
"Cassava dominant with maize, yams, and tree-crops, Benue, Nigeria",204.95833333333334,48
"Cashews with oil palm, tubers, and maize, Benue, Nigeria",204.95833333333334,48
"Citrus fruits with tubers, cereals, soybeans, and groundnuts, Benue, Nigeria",204.95833333333334,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Rivers, Nigeria",201.83333333333334,48
"Chad Basin: masakwa flood-recession sorghum and wheat, Rivers, Nigeria",201.33333333333334,48
"North-west and central maize dominant, with sorghum, sweet potatoes, and cowpeas, Kaduna, Nigeria",201.29166666666666,48
"Central yams and maize belt, with cassava, rice, and soybeans, Kaduna, Nigeria",201.29166666666666,48
"Central sorghum, maize, groundnuts, cowpeas, and sesame, Kaduna, Nigeria",201.29166666666666,48
"Coastal Medium Potential Farming Zone, Rabai, Kilifi, Kenya",198.85416666666666,48
"Coastal Marginal Agricultural Mixed Farming Zone, Rabai, Kilifi, Kenya",198.85416666666666,48
"North-west sorghum, maize, soybeans, and rice, Gusau, Zamfara, Nigeria",193.35416666666666,48
"Sokoto millet, cowpeas, groundnuts, and livestock, Kaura-Namoda, Zamfara, Nigeria",190.22916666666666,48
"South-east rice dominant with cassava, yams, and oil palm, Ebonyi, Nigeria",186.70833333333334,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Faskari, Katsina, Nigeria",184.875,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Faskari, Katsina, Nigeria",184.875,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Funtua, Katsina, Nigeria",184.375,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Bakori, Katsina, Nigeria",183.72916666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kurfi, Katsina, Nigeria",183.66666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Jigawa, Nigeria",181.22916666666666,48
"South-east rice dominant with cassava, yams, and oil palm, Enugu, Nigeria",178.64583333333334,48
"Cashews with oil palm, tubers, and maize, Enugu, Nigeria",178.64583333333334,48
"Fune IDP camp, Nigeria",178.52083333333334,48
"Western Agropastoral Millet, Ag Geneina, West Darfur, Sudan",176.08333333333334,48
"El Geneina Camps (Geneina, Ardamata, Kerending 1 & 2), Sudan",173.27083333333334,48
"Rainfed Sorghum Belt, Ag Geneina, West Darfur, Sudan",173.27083333333334,48
"Ouagadougou peri-urban, Oubritenga, Plateau-Central, Burkina Faso",172.0625,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Dandume, Katsina, Nigeria",171.22916666666666,48
"Ouagadougou peri-urban, Kadiogo, Centre, Burkina Faso",170.5,48
"Southern Cattle and Cereal Farming, Beitbridge Rural, Matabeleland South, Zimbabwe",170.0,29
"Beitbridge South Western Lowveld Communal, Beitbridge Rural, Matabeleland South, Zimbabwe",169.75862068965517,29
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Rimi, Katsina, Nigeria",169.10416666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kafur, Katsina, Nigeria",169.0625,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kafur, Katsina, Nigeria",169.0625,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Matazu, Katsina, Nigeria",168.20833333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Bindawa, Katsina, Nigeria",167.875,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kankara, Katsina, Nigeria",167.83333333333334,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kankara, Katsina, Nigeria",167.83333333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Dan Musa, Katsina, Nigeria",167.70833333333334,48
"South-west cocoa with oil palm, tubers, and cereals, Ondo, Nigeria",167.16666666666666,48
"Cassava dominant with maize, yams, and tree-crops, Ondo, Nigeria",167.16666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Baure, Katsina, Nigeria",165.75,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Charanchi, Katsina, Nigeria",164.66666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Batagarawa, Katsina, Nigeria",164.10416666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Ingawa, Katsina, Nigeria",163.02083333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Daura, Katsina, Nigeria",162.9375,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Safana, Katsina, Nigeria",162.41666666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Musawa, Katsina, Nigeria",162.16666666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Sabuwa, Katsina, Nigeria",161.91666666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Zango, Katsina, Nigeria",161.5625,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kaita, Katsina, Nigeria",161.54166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kusada, Katsina, Nigeria",161.54166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kankia, Katsina, Nigeria",161.54166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Mashi, Katsina, Nigeria",161.33333333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Mani, Katsina, Nigeria",161.33333333333334,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Mai'Adua, Katsina, Nigeria",161.29166666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Sandamu, Katsina, Nigeria",161.25,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Katsina, Katsina, Nigeria",161.22916666666666,48
"Kano-Katsina sahelian: millet, sorghum, sesame, and livestock, Kano, Nigeria",161.22916666666666,48
"Kano-Katsina sudanian: sorghum, maize, rice, and groundnuts, Kano, Nigeria",161.22916666666666,48
"Urban, Bamako, Bamako, Mali",155.9375,48
"Lakeshore and Riverbank Fishing Zone, Kampala, Central, Uganda",152.76666666666668,30
"Urban, Kampala, Central, Uganda",152.76666666666668,30
"Central Agropastoral, N'Djamena, N'Djamena, Chad",151.70833333333334,48
"Southeastern Marginal Mixed Farming Zone, Kitui Central, Kitui, Kenya",149.5625,48
"Guba Lafto, North Wollo, Amhara, Ethiopia",146.70833333333334,48
"Guba Lafto, North Wello, Amhara, Ethiopia",146.70833333333334,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Sokoto North, Sokoto, Nigeria",144.6875,48
"Bikita-Zaka Highlands Communal, Bikita, Masvingo, Zimbabwe",142.17241379310346,29
"Bikita-Zaka Highlands Communal, Masvingo Rural, Masvingo, Zimbabwe",142.17241379310346,29
"Bikita-Zaka Highlands Communal, Zaka, Masvingo, Zimbabwe",142.17241379310346,29
"Urban, Bikita, Masvingo, Zimbabwe",141.55172413793105,29
"Save River Valley and Ndowoyo Communal, Bikita, Masvingo, Zimbabwe",141.55172413793105,29
"Masvingo Manicaland Middleveld Smallholder, Bikita, Masvingo, Zimbabwe",141.55172413793105,29
"North-west sorghum, maize, soybeans, and rice, Maru, Zamfara, Nigeria",140.875,48
"Sokoto millet, cowpeas, groundnuts, and livestock, Wamako, Sokoto, Nigeria",139.52083333333334,48
"Cassava dominant with maize, yams, and tree-crops, Ekiti, Nigeria",138.02083333333334,48
"Central yams and maize belt, with cassava, rice, and soybeans, Ekiti, Nigeria",138.02083333333334,48
"South-west cocoa with oil palm, tubers, and cereals, Ekiti, Nigeria",138.02083333333334,48
"South-west cocoa with oil palm, tubers, and cereals, Osun, Nigeria",131.70833333333334,48
"Cassava dominant with maize, yams, and tree-crops, Osun, Nigeria",131.70833333333334,48
"Central yams and maize belt, with cassava, rice, and soybeans, Osun, Nigeria",131.70833333333334,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Abia, Nigeria",130.91666666666666,48
"Cashews with oil palm, tubers, and maize, Abia, Nigeria",130.41666666666666,48
"Central and Northern Semi Intensive Farming, Gutu, Masvingo, Zimbabwe",128.79310344827587,29
"Masvingo Manicaland Middleveld Smallholder, Gutu, Masvingo, Zimbabwe",128.79310344827587,29
"Northern Cattle and Cereal Farming, Gutu, Masvingo, Zimbabwe",128.79310344827587,29
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Tambuwal, Sokoto, Nigeria",127.64583333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kebbi, Nigeria",127.29166666666667,48
"Cashews with oil palm, tubers, and maize, Kogi, Nigeria",122.39583333333333,48
"Central yams and maize belt, with cassava, rice, and soybeans, Kogi, Nigeria",122.39583333333333,48
"Cassava dominant with maize, yams, and tree-crops, Kogi, Nigeria",122.39583333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Bakura, Zamfara, Nigeria",121.66666666666667,48
"Kariba Valley and Kariangwe-Jambezi Communal, Hwange Rural, Matabeleland North, Zimbabwe",119.46428571428571,28
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Bungudu, Zamfara, Nigeria",118.70833333333333,48
"Northeastern Highland Forest, Palma, Cabo Delgado, Mozambique",118.27083333333333,48
"North-Central Coastal Fishing, Palma, Cabo Delgado, Mozambique",118.27083333333333,48
"Western Kalahari Sandveld Communal, Hwange Rural, Matabeleland North, Zimbabwe",117.96428571428571,28
"Sokoto millet, cowpeas, groundnuts, and livestock, Birnin Magaji, Zamfara, Nigeria",116.72916666666667,48
"Central Highlands, High Potential Zone, Embakasi West, Nairobi, Kenya",114.5625,48
"Central Highlands, High Potential Zone, Embakasi North, Nairobi, Kenya",110.41666666666667,48
"North-east maize dominant with rice, cowpeas, soybeans, and groundnuts, Chibok, Borno, Nigeria",109.9375,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Bursari, Yobe, Nigeria",109.125,48
"Highveld Prime Cereal and Cash Crop Resettlement, Chegutu Rural, Mashonaland West, Zimbabwe",108.86206896551724,29
"Central yams and maize belt, with cassava, rice, and soybeans, Kwara, Nigeria",108.83333333333333,48
"Cassava dominant with maize, yams, and tree-crops, Kwara, Nigeria",108.83333333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Gummi, Zamfara, Nigeria",107.79166666666667,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Imo, Nigeria",105.45833333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Illela, Sokoto, Nigeria",105.02083333333333,48
"Central Highlands, High Potential Zone, Embakasi South, Nairobi, Kenya",104.97916666666667,48
"Cashews with oil palm, tubers, and maize, Imo, Nigeria",104.95833333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Goronyo, Sokoto, Nigeria",104.625,48
"Central Highlands, High Potential Zone, Embakasi Central, Nairobi, Kenya",104.33333333333333,48
"Central Highlands, High Potential Zone, Embakasi East, Nairobi, Kenya",103.95833333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Gudu, Sokoto, Nigeria",102.52083333333333,48
"South-east cassava, cereals, and oil palm with extensive off-farm work and trade, Akwa Ibom, Nigeria",100.85416666666667,48
"Central sorghum, maize, groundnuts, cowpeas, and sesame, Gombi, Adamawa, Nigeria",100.58333333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Gwadabawa, Sokoto, Nigeria",100.58333333333333,48
"North-east maize dominant with rice, cowpeas, soybeans, and groundnuts, Hawul, Borno, Nigeria",99.79166666666667,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Tsafe, Zamfara, Nigeria",98.58333333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Sokoto South, Sokoto, Nigeria",98.02083333333333,48
"Marsabit Marginal Mixed Farming Zone, Marsabit Central, Saku, Marsabit, Kenya",97.72916666666667,48
"South-east rice dominant with cassava, yams, and oil palm, Cross River, Nigeria",97.22916666666667,48
"Cross river cocoa with oil palm, tubers, rice, and plantain, Cross River, Nigeria",97.22916666666667,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Talata Mafara, Zamfara, Nigeria",94.8125,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Sabon Birni, Sokoto, Nigeria",94.79166666666667,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kware, Sokoto, Nigeria",94.70833333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Isa, Sokoto, Nigeria",94.625,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Silame, Sokoto, Nigeria",94.60416666666667,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Zurmi, Zamfara, Nigeria",94.54166666666667,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Shinkafi, Zamfara, Nigeria",94.52083333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kebbe, Sokoto, Nigeria",94.3125,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Rabah, Sokoto, Nigeria",94.08333333333333,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Wurno, Sokoto, Nigeria",93.77083333333333,48
"Central sorghum, maize, groundnuts, cowpeas, and sesame, Kano, Nigeria",93.6875,48
"Sokoto-Rima-Kano riverine flood plain rice and fishing, Kano, Nigeria",93.6875,48
"North-west and central maize dominant, with sorghum, sweet potatoes, and cowpeas, Kano, Nigeria",93.6875,48
"Beitbridge South Western Lowveld Communal, Chiredzi Rural, Masvingo, Zimbabwe",93.58620689655173,29
"Beitbridge South Western Lowveld Communal, Gwanda Rural, Matabeleland South, Zimbabwe",91.0,29
"Eastern Rainfed Cereals and Market Gardening, Assongha, Ouaddai, Chad",89.78571428571429,28
"Lusulu, Lupane and Southern Gokwe Mixed Agriculture, Binga, Matabeleland North, Zimbabwe",89.39285714285714,28
"Masvingo Manicaland Middleveld Smallholder, Buhera, Manicaland, Zimbabwe",89.17241379310344,29
"Central and Northern Semi Intensive Farming, Buhera, Manicaland, Zimbabwe",84.20689655172414,29
"Highveld Prime Cereal and Cash Crop Resettlement, Bindura Rural, Mashonaland Central, Zimbabwe",82.65517241379311,29
"Southern Riverine Small/Medium-scale Cultivation, Reifi Aroma, Kassala, Sudan",81.9375,48
"Eastern Agropastoral Sorghum, Reifi Aroma, Kassala, Sudan",81.9375,48
"Eastern Pastoral, Reifi Aroma, Kassala, Sudan",81.9375,48
"Northern Riverine Small-scale Cultivation, Reifi Aroma, Kassala, Sudan",81.9375,48
"Eastern Agropastoral Sorghum, Reifi Nahr Atbara, Kassala, Sudan",81.75,48
"Central Irrigated Schemes, Reifi Nahr Atbara, Kassala, Sudan",81.75,48
"Northern Riverine Small-scale Cultivation, Reifi Nahr Atbara, Kassala, Sudan",81.75,48
"Central Irrigated Schemes, Halfa Aj Jadeedah, Kassala, Sudan",81.625,48
"Southeast Rainfed Semi-mechanized Agriculture, Reifi Kassla, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Reifi Khashm Elgirba, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Halfa Aj Jadeedah, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Reifi Kassla, Kassala, Sudan",81.625,48
"Southern Riverine Small/Medium-scale Cultivation, Reifi Kassla, Kassala, Sudan",81.625,48
"Eastern Pastoral, Reifi Hamashkureib, Kassala, Sudan",81.625,48
"Eastern Pastoral, Reifi Khashm Elgirba, Kassala, Sudan",81.625,48
"Southern Riverine Small/Medium-scale Cultivation, Reifi Shamal Ad Delta, Kassala, Sudan",81.625,48
"Flood-retreat Cultivation, Reifi Shamal Ad Delta, Kassala, Sudan",81.625,48
"Southern Riverine Small/Medium-scale Cultivation, Madeinat Kassala, Kassala, Sudan",81.625,48
"Northern Riverine Small-scale Cultivation, Halfa Aj Jadeedah, Kassala, Sudan",81.625,48
"Eastern Pastoral, Reifi Telkok, Kassala, Sudan",81.625,48
"Eastern Pastoral, Reifi Shamal Ad Delta, Kassala, Sudan",81.625,48
"Southeast Rainfed Semi-mechanized Agriculture, Reifi Wad Elhilaiw, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Reifi Gharb Kassala, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Madeinat Kassala, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Reifi Telkok, Kassala, Sudan",81.625,48
"Eastern Agropastoral Sorghum, Reifi Shamal Ad Delta, Kassala, Sudan",81.625,48
"Southern Cattle and Cereal Farming, Chiredzi Rural, Masvingo, Zimbabwe",80.75862068965517,29
"Save River Valley and Ndowoyo Communal, Chiredzi Rural, Masvingo, Zimbabwe",80.51724137931035,29
"Irrigated Commercial Sugar and Fruit Farming, Chiredzi Rural, Masvingo, Zimbabwe",80.51724137931035,29
"Kariba Valley and Kariangwe-Jambezi Communal, Binga, Matabeleland North, Zimbabwe",80.35714285714286,28
"Sokoto millet, cowpeas, groundnuts, and livestock, Batsari, Katsina, Nigeria",79.10416666666667,48
"Highveld Prime Communal, Chegutu Rural, Mashonaland West, Zimbabwe",79.07142857142857,28
"Urban, Chegutu Urban, Mashonaland West, Zimbabwe",79.07142857142857,28
"Cereal and Low Cotton Communal, Binga, Matabeleland North, Zimbabwe",78.85714285714286,28
"Agrofisheries, Binga, Matabeleland North, Zimbabwe",78.85714285714286,28
"Eastern Kalahari Sandveld Communal, Binga, Matabeleland North, Zimbabwe",78.85714285714286,28
"Western Agropastoral Millet, Tawila, North Darfur, Sudan",78.83333333333333,48
"Southern Cattle and Cereal Farming, Gwanda Rural, Matabeleland South, Zimbabwe",78.17241379310344,29
"Kasungu Lilongwe Plain, Dedza, Central, Malawi",77.47727272727273,44
"North Darfur Tobacco, Tawila, North Darfur, Sudan",76.89583333333333,48
"Kasungu Lilongwe Plain, Mzimba, Northern, Malawi",76.45238095238095,42
"Southern Cattle and Cereal Farming, Bubi, Matabeleland North, Zimbabwe",75.07407407407408,27
